city,date_time,temperature,humidity,pressure,wind_speed,rainfall,weather_code,latitude,longitude
Sheikhupura,2025-05-24 03:00:00,30.6,50,975.1,10.2,0.0,0,31.7167,73.985
Gujranwala,2024-06-20 22:00:00,31.9,48,972.5,7.6,0.0,3,32.1877,74.1945
Gwadar,2025-07-02 04:00:00,28.4,83,996.9,7.9,0.0,3,25.1264,62.3225
Nankana Sahib,2024-02-03 10:00:00,13.1,64,997.0,7.6,0.0,3,31.45,73.7
Khanewal,2024-06-25 03:00:00,30.0,50,980.1,6.5,0.0,0,30.3017,71.9321
Nawabshah,2024-08-29 04:00:00,26.5,91,994.7,18.5,0.0,3,26.2442,68.41
Mirpur Khas,2024-03-02 17:00:00,22.9,12,1006.2,20.9,0.0,0,25.5251,69.0159
Loralai,2024-10-26 19:00:00,24.2,30,861.8,6.3,0.0,0,30.3705,68.5979
Umerkot,2025-08-19 20:00:00,30.9,78,996.5,12.8,0.1,51,25.3614,69.7361
Muridke,2025-10-01 22:00:00,26.5,75,978.6,5.7,0.0,0,31.802,74.257
Shakargarh,2024-06-18 21:00:00,34.7,28,964.6,7.7,0.0,0,32.2646,75.1608
Sargodha,2024-10-20 05:00:00,19.6,89,988.0,4.6,0.0,0,32.0836,72.6711
Turbat,2025-09-03 07:00:00,26.3,83,988.1,8.5,0.0,1,26.0023,63.0485
Jhang,2024-05-15 08:00:00,32.2,32,990.7,6.2,0.0,0,31.2781,72.3118
Chiniot,2025-08-13 23:00:00,31.0,62,979.3,8.1,0.0,3,31.72,72.9789
Khanewal,2024-12-23 02:00:00,10.0,76,997.4,8.2,0.0,2,30.3017,71.9321
Hunza,2025-02-23 18:00:00,-2.0,52,779.3,1.5,0.0,2,36.3167,74.65
Mandi Bahauddin,2024-08-06 08:00:00,28.2,87,975.0,10.4,0.9,53,32.5861,73.4917
Peshawar,2025-09-22 21:00:00,28.3,75,966.1,2.8,0.0,0,34.0151,71.5249
Gujrat,2025-08-17 11:00:00,30.9,77,975.7,7.9,0.0,3,32.5736,74.078
Hafizabad,2025-12-25 17:00:00,14.7,78,990.1,6.4,0.0,3,32.0709,73.688
Chakwal,2025-04-19 21:00:00,22.7,56,944.7,7.6,0.0,0,32.9336,72.8634
Gujranwala,2025-10-19 07:00:00,20.6,82,985.8,0.9,0.0,0,32.1877,74.1945
Pakpattan,2025-06-28 07:00:00,31.0,77,979.9,7.3,0.0,1,30.341,73.3866
Nankana Sahib,2024-11-20 23:00:00,14.7,85,992.4,4.9,0.0,0,31.45,73.7
Sukkur,2024-03-05 07:00:00,10.7,66,1011.3,8.4,0.0,3,27.7052,68.8574
Chakwal,2025-09-19 21:00:00,27.0,60,948.3,6.7,0.0,0,32.9336,72.8634
Nowshera,2025-04-20 08:00:00,22.3,53,973.5,8.1,0.0,0,34.0159,72.0058
Narowal,2025-05-10 15:00:00,32.7,43,978.6,7.2,0.0,2,32.1,74.8833
Sargodha,2024-04-12 08:00:00,25.9,41,989.7,11.2,0.0,1,32.0836,72.6711
Matiari,2025-12-14 08:00:00,14.2,68,1014.2,11.3,0.0,3,25.597,68.4467
Gilgit,2024-07-13 01:00:00,22.9,51,845.2,8.7,0.0,2,35.9208,74.3083
Peshawar,2024-02-05 21:00:00,11.7,42,978.5,0.7,0.0,0,34.0151,71.5249
Rahim Yar Khan,2024-02-09 08:00:00,12.1,77,1008.3,12.4,0.0,0,28.4202,70.2952
Dir,2024-10-11 18:00:00,22.2,33,862.4,1.8,0.0,0,35.2058,71.8767
Jacobabad,2025-05-22 10:00:00,38.1,41,991.9,4.0,0.0,0,28.2819,68.4388
Kahuta,2025-05-10 17:00:00,30.4,34,938.9,4.9,0.0,1,33.5917,73.3875
Taxila,2024-07-24 08:00:00,29.5,74,937.3,6.0,0.0,0,33.7463,72.8397
Dalbandin,2024-04-24 17:00:00,31.4,14,913.6,19.8,0.0,2,28.8885,64.4062
Chakwal,2024-05-27 02:00:00,27.5,22,939.5,10.7,0.0,0,32.9336,72.8634
Bhimber,2024-09-04 22:00:00,24.3,93,964.5,4.2,0.0,0,32.9747,74.078
Shikarpur,2024-05-27 07:00:00,37.4,14,990.7,16.4,0.0,0,27.9556,68.6382
Sargodha,2025-03-23 17:00:00,32.9,18,990.3,9.7,0.0,0,32.0836,72.6711
Nowshera,2025-12-20 09:00:00,11.0,81,981.8,3.8,0.0,3,34.0159,72.0058
Mandi Bahauddin,2025-07-27 15:00:00,35.6,61,969.0,5.2,0.0,1,32.5861,73.4917
Bhimber,2024-09-01 15:00:00,32.8,64,965.5,7.6,0.0,0,32.9747,74.078
Tando Allahyar,2025-06-11 18:00:00,37.3,43,996.5,21.0,0.0,0,25.4605,68.717
Pakpattan,2024-11-17 23:00:00,17.5,74,995.8,1.0,0.0,0,30.341,73.3866
Timergara,2025-02-09 14:00:00,19.4,31,928.0,1.8,0.0,2,34.8266,71.844
Narowal,2024-12-13 14:00:00,20.3,27,988.3,15.7,0.0,0,32.1,74.8833
Islamabad,2024-11-02 14:00:00,26.3,47,953.5,8.9,0.0,0,33.6844,73.0479
Abbottabad,2024-09-11 00:00:00,24.0,71,877.4,2.0,0.0,1,34.1688,73.2215
Chiniot,2024-03-18 15:00:00,30.4,21,989.2,9.2,0.0,0,31.72,72.9789
Chilas,2024-10-20 02:00:00,20.7,27,887.7,0.4,0.0,0,35.4206,74.0967
Lodhran,2025-04-28 08:00:00,31.4,18,991.8,1.7,0.0,0,29.5405,71.6336
Sahiwal,2024-03-29 16:00:00,31.5,36,987.9,5.8,0.0,2,30.6682,73.1114
Chiniot,2025-06-15 14:00:00,42.2,15,973.9,11.8,0.0,3,31.72,72.9789
Gupis,2024-12-16 09:00:00,-15.3,39,619.5,8.6,0.0,0,36.1667,73.4333
Nowshera,2024-01-11 02:00:00,4.7,83,983.7,5.4,0.0,0,34.0159,72.0058
Muridke,2024-11-08 15:00:00,29.1,51,987.2,3.2,0.0,0,31.802,74.257
Chitral,2025-05-03 05:00:00,11.4,55,847.2,2.8,0.0,2,35.8518,71.7864
Quetta,2024-02-02 00:00:00,3.3,36,835.5,6.9,0.0,0,30.1798,66.975
Sheikhupura,2024-02-25 04:00:00,7.0,74,992.4,9.3,0.0,0,31.7167,73.985
Umerkot,2025-09-23 07:00:00,25.8,88,1005.4,15.0,0.0,3,25.3614,69.7361
Dadu,2024-02-25 13:00:00,24.8,24,1012.1,7.6,0.0,3,26.7319,67.775
Nawabshah,2025-04-15 21:00:00,36.4,32,999.2,20.1,0.0,0,26.2442,68.41
Larkana,2024-09-18 01:00:00,29.0,69,998.5,10.7,0.0,0,27.559,68.212
Jhang,2025-07-14 14:00:00,33.6,58,981.3,7.9,0.0,1,31.2781,72.3118
Narowal,2025-02-09 01:00:00,8.3,92,986.6,0.7,0.0,0,32.1,74.8833
Kallar Syedan,2025-10-29 08:00:00,19.1,66,956.2,6.0,0.0,0,33.4167,73.3833
Nankana Sahib,2024-06-24 04:00:00,27.7,51,976.0,4.0,0.0,0,31.45,73.7
Mardan,2024-10-14 10:00:00,25.2,67,979.4,2.4,0.0,0,34.1989,72.0407
Mianwali,2025-07-25 20:00:00,32.4,65,970.0,6.9,0.0,0,32.5839,71.537
Larkana,2024-07-25 12:00:00,40.3,39,985.3,8.9,0.0,1,27.559,68.212
Larkana,2025-01-28 18:00:00,22.8,31,1002.7,9.0,0.0,0,27.559,68.212
Nowshera,2025-07-25 06:00:00,26.2,92,964.4,1.5,0.0,0,34.0159,72.0058
Haripur,2025-09-21 13:00:00,31.0,52,947.2,7.2,0.0,0,33.9942,72.934
Dir,2024-01-04 16:00:00,12.1,30,861.5,2.1,0.0,3,35.2058,71.8767
Sargodha,2025-07-25 03:00:00,26.5,98,972.9,1.8,0.0,0,32.0836,72.6711
Matiari,2025-03-22 22:00:00,28.0,40,1008.2,13.9,0.0,0,25.597,68.4467
Jhang,2024-10-03 11:00:00,34.4,48,986.2,7.8,0.0,0,31.2781,72.3118
Rahim Yar Khan,2024-09-01 01:00:00,28.0,83,995.1,7.2,0.0,0,28.4202,70.2952
Kotli,2024-03-12 16:00:00,21.9,33,945.4,8.7,0.0,0,33.5184,73.9022
Bahawalpur,2025-06-11 00:00:00,36.8,23,985.0,17.9,0.0,0,29.3956,71.6836
Dir,2025-05-17 13:00:00,31.4,18,860.8,10.0,0.0,1,35.2058,71.8767
Sahiwal,2025-01-30 15:00:00,22.2,46,989.9,8.2,0.0,0,30.6682,73.1114
Mirpur,2025-10-02 10:00:00,28.2,62,960.8,5.7,0.0,0,33.1483,73.7517
Jhelum,2024-12-02 12:00:00,22.7,35,987.8,3.1,0.0,0,32.9425,73.7257
Rahim Yar Khan,2024-09-30 03:00:00,29.2,73,997.9,7.4,0.0,0,28.4202,70.2952
Okara,2024-07-04 00:00:00,32.5,74,975.3,19.9,0.0,1,30.8081,73.4458
Khanewal,2024-10-29 21:00:00,27.5,59,991.9,5.4,0.0,0,30.3017,71.9321
Gwadar,2025-12-31 03:00:00,16.8,61,1010.2,23.4,0.0,0,25.1264,62.3225
Chiniot,2024-11-11 05:00:00,18.5,94,991.5,10.9,0.0,2,31.72,72.9789
Nowshera,2025-05-02 08:00:00,25.5,69,977.7,3.6,0.0,3,34.0159,72.0058
Toba Tek Singh,2024-09-10 05:00:00,26.3,83,982.5,6.8,0.0,0,30.9697,72.4827
Karachi,2025-05-14 18:00:00,30.8,69,1002.2,13.3,0.0,0,24.8607,67.0011
Quetta,2025-12-12 16:00:00,20.1,5,840.1,2.4,0.0,3,30.1798,66.975
Hafizabad,2024-09-15 10:00:00,31.6,66,979.8,3.0,0.0,0,32.0709,73.688
Kotli,2024-12-13 07:00:00,2.4,59,947.3,9.8,0.0,0,33.5184,73.9022
Tando Allahyar,2025-10-25 14:00:00,35.7,21,1005.7,7.3,0.0,0,25.4605,68.717
Timergara,2024-01-07 01:00:00,1.4,71,927.5,3.9,0.0,0,34.8266,71.844
Faisalabad,2024-04-10 02:00:00,20.1,39,986.8,8.5,0.0,0,31.4504,73.135
Wah Cantt,2025-05-20 20:00:00,32.1,34,947.0,4.8,0.0,0,33.77,72.75
Sahiwal,2025-11-05 10:00:00,24.1,55,994.1,11.0,0.0,0,30.6682,73.1114
Karak,2025-09-23 05:00:00,25.1,67,942.1,3.2,0.0,0,33.1167,71.0833
Jacobabad,2025-08-04 15:00:00,39.2,43,991.4,12.4,0.0,2,28.2819,68.4388
Sukkur,2025-11-02 03:00:00,21.3,54,1001.7,1.4,0.0,0,27.7052,68.8574
Taxila,2024-11-25 09:00:00,15.7,56,955.1,5.3,0.0,0,33.7463,72.8397
Kot Addu,2025-06-29 10:00:00,38.4,43,978.1,17.5,0.0,0,30.4691,70.967
Kot Addu,2024-07-10 04:00:00,31.7,62,985.3,8.6,0.0,0,30.4691,70.967
Rawalpindi,2025-06-14 23:00:00,32.7,33,942.5,2.8,0.0,0,33.5651,73.0169
